category,en,zh,definition,example,difficulty
general,thumb,拇指,第一指,A thumb can help you.,1
general,chest,胸,躯干上部,A chest can help you.,1
general,back,背,躯干后部,This is a back.,1
general,stomach,胃,消化器官,This is a stomach.,1
general,leg,腿,下肢,The leg is important.,1
general,knee,膝盖,腿部关节,A knee can help you.,1
general,foot,脚,下肢末端,The foot is important.,1
general,toe,脚趾,足部分支,A toe can help you.,1
general,skin,皮肤,身体表层,A skin can help you.,1
general,blood,血液,体液,The blood is important.,1
general,heart,心脏,循环器官,The heart is important.,1
general,brain,大脑,思维器官,I have a brain.,1
general,clothes,衣服,服装总称,I have a clothes.,1
general,shirt,衬衫,上装,A shirt can help you.,1
general,T-shirt,T恤,短袖上衣,This is a T-shirt.,1
general,coat,外套,外衣,A coat can help you.,1
general,jacket,夹克,短外套,I have a jacket.,1
general,dress,连衣裙,女装,This is a dress.,1
general,skirt,裙子,女装下装,A skirt can help you.,1
general,pants,裤子,下装,I have a pants.,1
general,jeans,牛仔裤,蓝色长裤,The jeans is important.,1
general,shorts,短裤,短下装,The shorts is important.,1
general,shoes,鞋子,足部服装,This is a shoes.,1
general,sock,袜子,足部用品,I have a sock.,1
general,hat,帽子,头部服装,This is a hat.,1
general,cap,鸭舌帽,有帽檐帽子,I have a cap.,1
general,glove,手套,手部服装,This is a glove.,1
general,scarf,围巾,颈部用品,The scarf is important.,1
general,belt,皮带,腰部用品,A belt can help you.,1
general,bag,包,携带容器,This is a bag.,1
general,purse,钱包,女性钱包,A purse can help you.,1
general,wallet,钱包,男性钱包,I have a wallet.,1
general,watch,手表,计时饰品,The watch is important.,1
general,ring,戒指,手指饰品,This is a ring.,1
general,glasses,眼镜,视力矫正,This is a glasses.,1
general,house,房子,居住建筑,The house is important.,1
general,home,家,居住地,This is a home.,1
general,room,房间,室内空间,The room is important.,1
general,bedroom,卧室,睡眠房间,A bedroom can help you.,1
general,living room,客厅,活动房间,The living room is important.,1
general,kitchen,厨房,烹饪房间,The kitchen is important.,1
general,bathroom,浴室,洗浴房间,I have a bathroom.,1
general,toilet,厕所,卫生间,The toilet is important.,1
general,floor,地板,室内地面,The floor is important.,1
general,ceiling,天花板,室内顶部,I have a ceiling.,1
general,wall,墙,分隔结构,The wall is important.,1
general,door,门,出入口,This is a door.,1
general,window,窗户,采光口,The window is important.,1
general,bed,床,睡眠家具,I have a bed.,1
general,desk,书桌,学习办公,I have a desk.,1
general,table,桌子,平面家具,This is a table.,1
general,chair,椅子,坐具,I have a chair.,1
general,sofa,沙发,软座椅,The sofa is important.,1
general,bookshelf,书架,藏书家具,This is a bookshelf.,1
general,lamp,灯,照明器具,A lamp can help you.,1
general,clock,时钟,计时器具,I have a clock.,1
general,mirror,镜子,反射器具,A mirror can help you.,1
general,rug,地毯,地面装饰,A rug can help you.,1
general,curtain,窗帘,遮光装饰,This is a curtain.,1
general,blanket,毯子,保暖用品,I have a blanket.,1
general,pillow,枕头,睡眠支撑,The pillow is important.,1
general,school,学校,教育场所,A school can help you.,1
general,classroom,教室,学习房间,A classroom can help you.,1
general,library,图书馆,藏书场所,The library is important.,1
general,playground,操场,运动场所,The playground is important.,1
general,office,办公室,工作房间,The office is important.,1
general,blackboard,黑板,教学板,The blackboard is important.,1
general,chalk,粉笔,书写工具,I have a chalk.,1
general,book,书,阅读材料,I have a book.,1
general,pen,钢笔,书写工具,This is a pen.,1
general,pencil,铅笔,绘画工具,I have a pencil.,1
general,eraser,橡皮,修改工具,I have a eraser.,1
general,ruler,尺子,测量工具,I have a ruler.,1
general,notebook,笔记本,记录本,I have a notebook.,1
general,backpack,书包,携带用品,This is a backpack.,1
general,homework,作业,课后任务,A homework can help you.,1
general,lesson,课程,教学单元,The lesson is important.,1
general,subject,科目,学科,This is a subject.,1
general,math,数学,计算学科,This is a math.,1
general,English,英语,语言学科,I have a English.,1
general,Chinese,语文,语言学科,I have a Chinese.,1
general,science,科学,自然学科,This is a science.,1
general,art,美术,艺术学科,The art is important.,1
general,music,音乐,声音艺术,This is a music.,1
general,PE,体育,运动课程,This is a PE.,1
general,exam,考试,测试评估,The exam is important.,1
general,test,测验,检验,A test can help you.,1
general,grade,年级/成绩,年级或分数,This is a grade.,1
general,score,分数,成绩,This is a score.,1
general,answer,答案,解答,This is a answer.,1
general,question,问题,疑问,The question is important.,1
general,study,学习,研习,Can you study?,1
general,learn,学习,获得知识,Can you learn?,1
general,teach,教,传授知识,You should teach it.,1
general,read,阅读,看文字,You should read it.,1
general,write,写,文字表达,Let's write together.,1
general,draw,画,图形表达,You should draw it.,1
general,count,数数,计算数量,Can you count?,1
general,think,思考,思维,Can you think?,1
general,understand,理解,领会,You should understand it.,1
general,remember,记住,记忆,You should remember it.,1
general,forget,忘记,遗忘,You should forget it.,1
general,know,知道,了解,You should know it.,1
general,color,颜色,视觉属性,I have a color.,1
general,red,红色,像血,This is red.,1
general,blue,蓝色,像天空,A blue {noun}.,1
general,green,绿色,像植物,This is green.,1
general,yellow,黄色,像太阳,This is yellow.,1
general,orange,橙色,像柑橘,It is very orange.,1
general,purple,紫色,紫葡萄色,This is purple.,1
general,pink,粉色,浅红色,It is very pink.,1
general,brown,棕色,像大地,It is very brown.,1
general,black,黑色,像夜晚,This is black.,1
general,white,白色,像雪,It is very white.,1
general,gray,灰色,中性色,This is gray.,1
general,light,浅色,明亮,This is light.,1
general,dark,深色,暗淡,A dark {noun}.,1
general,round,圆形,圆的,A round {noun}.,1
general,square,方形,方的,A square {noun}.,1
general,long,长,长度大,A long {noun}.,1
general,short,短,长度小,It is very short.,1
general,tall,高,高度大,A tall {noun}.,1
general,big,大,体积大,A big {noun}.,1
general,small,小,体积小,It is very small.,1
general,large,巨大,尺寸大,A large {noun}.,1
general,little,小,尺寸小,It is very little.,1
general,heavy,重,重量大,A heavy {noun}.,1
general,light,轻,重量小,A light {noun}.,1
general,thick,厚,厚度大,A thick {noun}.,1
general,thin,薄,厚度小,This is thin.,1
general,wide,宽,宽度大,This is wide.,1
general,narrow,窄,宽度小,A narrow {noun}.,1
general,animal,动物,生物,A animal can help you.,1
general,dog,狗,宠物,A dog can help you.,1
general,cat,猫,宠物,I have a cat.,1
general,bird,鸟,飞行动物,I have a bird.,1
general,fish,鱼,水生动物,I have a fish.,1
general,rabbit,兔子,小动物,I have a rabbit.,1
general,duck,鸭子,水禽,The duck is important.,1
general,chicken,鸡,家禽,I have a chicken.,1
general,pig,猪,家畜,The pig is important.,1
general,cow,牛,家畜,This is a cow.,1
general,horse,马,家畜,I have a horse.,1
general,sheep,羊,家畜,A sheep can help you.,1
general,goat,山羊,家畜,I have a goat.,1
general,mouse,老鼠,啮齿动物,A mouse can help you.,1
general,elephant,大象,大型动物,A elephant can help you.,1
general,lion,狮子,猛兽,The lion is important.,1
general,tiger,老虎,猛兽,The tiger is important.,1
general,monkey,猴子,灵长类,A monkey can help you.,1
general,panda,熊猫,中国国宝,This is a panda.,1
general,bear,熊,大型动物,The bear is important.,1
general,fox,狐狸,犬科,I have a fox.,1
general,wolf,狼,犬科,I have a wolf.,1
general,deer,鹿,草食动物,The deer is important.,1
general,zebra,斑马,条纹马,This is a zebra.,1
general,giraffe,长颈鹿,长脖子,A giraffe can help you.,1
general,kangaroo,袋鼠,有袋类,I have a kangaroo.,1
general,penguin,企鹅,南极鸟,I have a penguin.,1
general,eagle,鹰,猛禽,The eagle is important.,1
general,owl,猫头鹰,夜行猛禽,The owl is important.,1
general,snake,蛇,爬行动物,A snake can help you.,1
general,frog,青蛙,两栖动物,This is a frog.,1
general,turtle,乌龟,爬行动物,This is a turtle.,1
general,butterfly,蝴蝶,昆虫,A butterfly can help you.,1
general,bee,蜜蜂,昆虫,This is a bee.,1
general,ant,蚂蚁,昆虫,The ant is important.,1
general,spider,蜘蛛,节肢动物,A spider can help you.,1
general,fly,苍蝇,昆虫,This is a fly.,1
general,mosquito,蚊子,昆虫,I have a mosquito.,1
general,nature,自然,自然界,This is a nature.,1
general,sun,太阳,恒星,A sun can help you.,1
general,moon,月亮,卫星,This is a moon.,1
general,star,星星,天体,The star is important.,1
general,sky,天空,苍穹,I have a sky.,1
general,cloud,云,水汽凝结,I have a cloud.,1
general,rain,雨,降水,A rain can help you.,1
general,snow,雪,固态降水,This is a snow.,1
general,wind,风,空气流动,I have a wind.,1
general,storm,暴风雨,恶劣天气,A storm can help you.,1
general,lightning,闪电,大气放电,A lightning can help you.,1
general,thunder,雷,大气声响,A thunder can help you.,1
general,rainbow,彩虹,大气光学,The rainbow is important.,1
general,fog,雾,能见度低,I have a fog.,1
general,ice,冰,固态水,This is a ice.,1
general,fire,火,燃烧,A fire can help you.,1
general,water,水,生命之源,I have a water.,1
general,river,河,水体,The river is important.,1
general,lake,湖,水体,The lake is important.,1
general,sea,海,水体,A sea can help you.,1
general,ocean,海洋,水域,This is a ocean.,1
general,beach,海滩,海岸,The beach is important.,1
general,island,岛屿,陆地,A island can help you.,1
general,mountain,山,高地,The mountain is important.,1
general,hill,小山,隆起,I have a hill.,1
general,forest,森林,树木密集,This is a forest.,1
general,tree,树,木本植物,I have a tree.,1
general,grass,草,草本植物,I have a grass.,1
general,flower,花,植物器官,A flower can help you.,1
general,leaf,叶子,植物器官,The leaf is important.,1
general,rock,岩石,矿物,I have a rock.,1
general,stone,石头,石材,I have a stone.,1
general,sand,沙子,颗粒物,I have a sand.,1
general,dirt,泥土,土壤,I have a dirt.,1
general,earth,地球,星球,The earth is important.,1
general,world,世界,全球,I have a world.,1
general,time,时间,时刻或时长,The time is important.,1
general,day,天,24小时,This is a day.,1
general,night,夜,黑暗时段,I have a night.,1
general,morning,早上,一天开始,A morning can help you.,1
general,afternoon,下午,中午后,A afternoon can help you.,1
general,evening,晚上,日落后,I have a evening.,1
general,noon,中午,正午,This is a noon.,1
general,midnight,午夜,零点,The midnight is important.,1
general,today,今天,当前日,The today is important.,1
general,tomorrow,明天,次日,A tomorrow can help you.,1
general,yesterday,昨天,前日,This is a yesterday.,1
general,week,周,七天,I have a week.,1
general,weekend,周末,周六日,The weekend is important.,1
general,month,月,月份,The month is important.,1
general,year,年,年份,I have a year.,1
general,season,季节,四季,I have a season.,1
general,spring,春天,生长季节,This is a spring.,1
general,summer,夏天,炎热季节,A summer can help you.,1
general,autumn,秋天,收获季节,This is a autumn.,1
general,winter,冬天,寒冷季节,The winter is important.,1
general,weather,天气,气象,The weather is important.,1
general,sunny,晴朗,阳光充足,It is very sunny.,1
general,cloudy,多云,云多,It is very cloudy.,1
general,windy,有风,风大,This is windy.,1
general,rainy,下雨,降雨,This is rainy.,1
general,snowy,下雪,降雪,This is snowy.,1
general,hot,热,温度高,This is hot.,1
general,warm,暖,温度适中,It is very warm.,1
general,cool,凉,温度略低,A cool {noun}.,1
general,cold,冷,温度低,This is cold.,1
general,wet,湿,水分多,A wet {noun}.,1
general,dry,干,水分少,A dry {noun}.,1
general,Monday,周一,星期一,The Monday is important.,1
general,Tuesday,周二,星期二,A Tuesday can help you.,1
general,Wednesday,周三,星期三,A Wednesday can help you.,1
general,Thursday,周四,星期四,I have a Thursday.,1
general,Friday,周五,星期五,A Friday can help you.,1
general,Saturday,周六,星期六,I have a Saturday.,1
general,Sunday,周日,星期日,I have a Sunday.,1
general,January,一月,第一个月,This is a January.,1
general,February,二月,第二个月,I have a February.,1
general,March,三月,第三个月,This is a March.,1
general,April,四月,第四个月,I have a April.,1
general,May,五月,第五个月,This is a May.,1
general,June,六月,第六个月,The June is important.,1
general,July,七月,第七个月,A July can help you.,1
general,August,八月,第八个月,I have a August.,1
general,September,九月,第九个月,A September can help you.,1
general,October,十月,第十个月,A October can help you.,1
general,November,十一月,第十一月,This is a November.,1
general,December,十二月,第十二月,The December is important.,1
general,one,一,数字1,It's one o'clock.,1
general,two,二,数字2,It's two o'clock.,1
general,three,三,数字3,I have three books.,1
general,four,四,数字4,It's four o'clock.,1
general,five,五,数字5,I have five books.,1
general,six,六,数字6,It's six o'clock.,1
general,seven,七,数字7,I have seven books.,1
general,eight,八,数字8,I have eight books.,1
general,nine,九,数字9,I have nine books.,1
general,ten,十,数字10,I have ten books.,1
general,eleven,十一,数字11,It's eleven o'clock.,1
general,twelve,十二,数字12,I have twelve books.,1
general,thirteen,十三,数字13,It's thirteen o'clock.,1
general,fourteen,十四,数字14,I have fourteen books.,1
general,fifteen,十五,数字15,It's fifteen o'clock.,1
general,sixteen,十六,数字16,It's sixteen o'clock.,1
general,seventeen,十七,数字17,I have seventeen books.,1
general,eighteen,十八,数字18,It's eighteen o'clock.,1
general,nineteen,十九,数字19,It's nineteen o'clock.,1
general,twenty,二十,数字20,I have twenty books.,1
general,thirty,三十,数字30,I have thirty books.,1
general,forty,四十,数字40,It's forty o'clock.,1
general,fifty,五十,数字50,I have fifty books.,1
general,sixty,六十,数字60,It's sixty o'clock.,1
general,seventy,七十,数字70,It's seventy o'clock.,1
general,eighty,八十,数字80,It's eighty o'clock.,1
general,ninety,九十,数字90,I have ninety books.,1
general,hundred,百,数字100,It's hundred o'clock.,1
general,thousand,千,数字1000,It's thousand o'clock.,1
general,million,百万,数字1000000,It's million o'clock.,1
general,first,第一,序数词1,It is very first.,1
general,second,第二,序数词2,A second {noun}.,1
general,third,第三,序数词3,A third {noun}.,1
general,fourth,第四,序数词4,This is fourth.,1
general,fifth,第五,序数词5,It is very fifth.,1
general,sixth,第六,序数词6,A sixth {noun}.,1
general,seventh,第七,序数词7,It is very seventh.,1
general,eighth,第八,序数词8,This is eighth.,1
general,ninth,第九,序数词9,This is ninth.,1
general,tenth,第十,序数词10,It is very tenth.,1
general,in,在...里,位置介词,Go in the door.,1
general,on,在...上,位置介词,Go on the door.,1
general,under,在...下,位置介词,The book is under the table.,1
general,above,在...上,位置介词,The book is above the table.,1
general,below,在...下,位置介词,The book is below the table.,1
general,near,在...附近,位置介词,Go near the door.,1
general,far,远,距离大,It is very far.,1
general,here,这里,位置副词,Do it here.,1
general,there,那里,位置副词,Do it there.,1
general,where,哪里,疑问副词,He runs where.,1
general,left,左边,方向,This is left.,1
general,right,右边,方向,This is right.,1
general,front,前面,位置,I have a front.,1
general,back,后面,位置,A back can help you.,1
general,center,中心,中间,I have a center.,1
general,corner,角落,转角,The corner is important.,1
general,side,侧面,旁边,The side is important.,1
general,middle,中间,中部,The middle is important.,1
general,top,顶部,上面,A top can help you.,1
general,bottom,底部,下面,The bottom is important.,1
general,inside,里面,内部,The inside is important.,1
general,outside,外面,外部,I have a outside.,1
general,up,向上,方向,He runs up.,1
general,down,向下,方向,He runs down.,1
general,upstairs,楼上,位置,This is upstairs.,1
general,downstairs,楼下,位置,This is downstairs.,1
general,car,汽车,交通工具,I have a car.,1
general,bus,公交车,公共交通,This is a bus.,1
general,train,火车,轨道交通,A train can help you.,1
general,subway,地铁,城市轨道交通,The subway is important.,1
general,plane,飞机,空中交通,This is a plane.,1
general,ship,船,水上交通,A ship can help you.,1
general,boat,小船,水上载具,A boat can help you.,1
general,bike,自行车,个人交通,A bike can help you.,1
general,bicycle,自行车,两轮车,This is a bicycle.,1
general,motorcycle,摩托车,机动车,I have a motorcycle.,1
general,taxi,出租车,付费交通,The taxi is important.,1
general,truck,卡车,货车,A truck can help you.,1
general,ambulance,救护车,医疗车辆,I have a ambulance.,1
general,fire engine,消防车,消防车辆,A fire engine can help you.,1
general,police car,警车,执法车辆,This is a police car.,1
general,road,道路,行车通道,I have a road.,1
general,street,街道,城市道路,This is a street.,1
general,way,路,路径,I have a way.,1
general,path,小路,步行道,A path can help you.,1
general,bridge,桥,跨越建筑,A bridge can help you.,1
general,tunnel,隧道,地下通道,This is a tunnel.,1
general,cross,穿过,跨越,Can you cross?,1
general,turn,转弯,改变方向,Can you turn?,1
general,stop,停止,停下,Let's stop together.,1
general,go,走,前往,You should go it.,1
general,come,来,靠近,I come every day.,1
general,leave,离开,离去,I leave every day.,1
general,arrive,到达,抵达,Let's arrive together.,1
general,enter,进入,进去,Can you enter?,1
general,exit,退出,离开,I exit every day.,1
general,drive,驾驶,开车,Let's drive together.,1
general,ride,骑行,骑车,Let's ride together.,1
general,walk,步行,走路,Let's walk together.,1
general,run,跑,跑步,I run every day.,1
general,jump,跳,跳跃,You should jump it.,1
general,fly,飞,飞行,I fly every day.,1
general,swim,游泳,水上运动,I swim every day.,1
general,travel,旅行,出行,Let's travel together.,1
general,trip,旅行,短途,I have a trip.,1
general,tour,旅游,观光,I have a tour.,1
general,visit,参观,访问,I visit every day.,1
general,map,地图,导航图,I have a map.,1
general,ticket,票,凭证,This is a ticket.,1
general,passenger,乘客,出行者,I have a passenger.,1
general,driver,司机,驾驶者,The driver is important.,1
general,station,车站,乘车点,A station can help you.,1
general,airport,机场,航空枢纽,This is a airport.,1
general,hotel,酒店,住宿场所,The hotel is important.,1
general,restaurant,餐厅,用餐场所,The restaurant is important.,1
general,do,做,执行,Can you do?,1
general,make,制作,创造,I make every day.,1
general,get,得到,获取,You should get it.,1
general,give,给予,赠送,You should give it.,1
general,take,拿,取,You should take it.,1
general,bring,带来,拿来,Let's bring together.,1
general,show,展示,显示,You should show it.,1
general,tell,告诉,告知,I tell every day.,1
general,say,说,表达,You should say it.,1
general,ask,询问,提问,Let's ask together.,1
general,answer,回答,解答,I answer every day.,1
general,speak,说,讲话,Can you speak?,1
general,talk,谈话,交流,Let's talk together.,1
general,shout,大喊,大声说,Let's shout together.,1
general,whisper,耳语,小声说,Let's whisper together.,1
general,call,呼叫,喊或打电话,Can you call?,1
general,cry,哭,流泪,Let's cry together.,1
general,laugh,笑,发笑,Can you laugh?,1
general,smile,微笑,露出笑容,Let's smile together.,1
general,play,玩,娱乐,You should play it.,1
general,work,工作,劳动,Can you work?,1
general,rest,休息,放松,Can you rest?,1
general,sleep,睡觉,睡眠,I sleep every day.,1
general,wake,醒来,苏醒,Can you wake?,1
general,dream,做梦,梦境,Can you dream?,1
general,eat,吃,进食,You should eat it.,1
general,drink,喝,饮用,You should drink it.,1
general,cook,烹饪,做饭,Let's cook together.,1
general,taste,品尝,尝试味道,Let's taste together.,1
general,smell,闻,嗅觉,You should smell it.,1
general,hear,听见,听觉,Can you hear?,1
general,listen,听,倾听,Let's listen together.,1
general,see,看见,视觉,You should see it.,1
general,look,看,观看,Can you look?,1
general,watch,观看,注视,Let's watch together.,1
general,feel,感觉,感知,You should feel it.,1
general,touch,触摸,触碰,I touch every day.,1
general,hold,握,抓住,I hold every day.,1
general,carry,搬运,携带,Can you carry?,1
general,pull,拉,拖动,Let's pull together.,1
general,push,推,推动,Can you push?,1
general,open,打开,开启,Let's open together.,1
general,close,关闭,关上,You should close it.,1
general,start,开始,启动,Can you start?,1
general,begin,开始,着手,Can you begin?,1
general,finish,完成,结束,You should finish it.,1
general,end,结束,终止,You should end it.,1
general,stop,停止,停下,Can you stop?,1
general,wait,等待,等候,You should wait it.,1
general,help,帮助,协助,You should help it.,1
general,love,爱,喜爱,Can you love?,1
general,like,喜欢,喜好,I like every day.,1
general,hate,讨厌,厌恶,Can you hate?,1
general,want,想要,希望,You should want it.,1
general,need,需要,必需,I need every day.,1
general,hope,希望,期盼,Let's hope together.,1
general,wish,愿望,渴望,You should wish it.,1
general,try,尝试,试,I try every day.,1
general,use,使用,应用,I use every day.,1
general,keep,保持,维持,You should keep it.,1
general,change,改变,变化,You should change it.,1
general,move,移动,运动,You should move it.,1
general,put,放,放置,You should put it.,1
general,place,放置,安放,Let's place together.,1
general,sit,坐,坐下,Can you sit?,1
general,stand,站,站立,You should stand it.,1
general,lie,躺,卧倒,I lie every day.,1
general,fall,落下,跌倒,I fall every day.,1
general,rise,升起,上升,Can you rise?,1
general,lift,举起,抬高,Can you lift?,1
general,drop,掉落,落下,Let's drop together.,1
general,pick,捡,拾起,You should pick it.,1
general,cut,切,切割,You should cut it.,1
general,break,打破,损坏,I break every day.,1
general,fix,修理,修复,Can you fix?,1
general,build,建造,建筑,I build every day.,1
general,grow,生长,成长,Let's grow together.,1
general,die,死,死亡,Can you die?,1
general,live,生活,居住,Can you live?,1
general,born,出生,诞生,I born every day.,1
general,good,好,优质,A good {noun}.,1
general,bad,坏,劣质,A bad {noun}.,1
general,happy,快乐,高兴,It is very happy.,1
general,sad,悲伤,难过,It is very sad.,1
general,angry,生气,愤怒,A angry {noun}.,1
general,afraid,害怕,恐惧,A afraid {noun}.,1
general,brave,勇敢,无畏,A brave {noun}.,1
general,kind,善良,友善,It is very kind.,1
general,nice,好,友好,This is nice.,1
general,mean,刻薄,不友善,A mean {noun}.,1
general,polite,礼貌,有教养,This is polite.,1
general,rude,粗鲁,无礼,A rude {noun}.,1
general,busy,忙,繁忙,It is very busy.,1
general,free,空闲,有空,A free {noun}.,1
general,tired,累,疲劳,A tired {noun}.,1
general,hungry,饿,饥饿,A hungry {noun}.,1
general,thirsty,渴,口渴,This is thirsty.,1
general,full,饱,不饿,It is very full.,1
general,sick,病,生病,This is sick.,1
general,well,健康,身体好,A well {noun}.,1
general,healthy,健康,身体好,This is healthy.,1
general,strong,强壮,有力,A strong {noun}.,1
general,weak,虚弱,无力,A weak {noun}.,1
general,young,年轻,年纪小,It is very young.,1
general,old,年老,年纪大,It is very old.,1
general,new,新,新的,It is very new.,1
general,beautiful,美丽,漂亮,It is very beautiful.,1
general,ugly,丑,难看,A ugly {noun}.,1
general,clean,干净,整洁,A clean {noun}.,1
general,dirty,脏,污浊,A dirty {noun}.,1
general,rich,富有,有钱,A rich {noun}.,1
general,poor,贫穷,没钱,A poor {noun}.,1
general,cheap,便宜,价低,A cheap {noun}.,1
general,expensive,贵,价高,This is expensive.,1
general,easy,容易,不难,It is very easy.,1
general,hard,困难,不易,It is very hard.,1
general,difficult,困难,艰难,A difficult {noun}.,1
general,simple,简单,不复杂,A simple {noun}.,1
general,complex,复杂,繁复,A complex {noun}.,1
general,important,重要,关键,A important {noun}.,1
general,dangerous,危险,不安全,It is very dangerous.,1
general,safe,安全,无危险,It is very safe.,1
general,quiet,安静,无声,It is very quiet.,1
general,noisy,吵闹,喧哗,It is very noisy.,1
general,fast,快,迅速,It is very fast.,1
general,slow,慢,迟缓,It is very slow.,1
general,early,早,提前,A early {noun}.,1
general,late,晚,迟到,It is very late.,1
general,right,对的,正确,This is right.,1
general,wrong,错的,错误,A wrong {noun}.,1
general,true,真的,真实,It is very true.,1
general,false,假的,虚假,It is very false.,1
general,sure,确定,肯定,It is very sure.,1
